,Name,Sex,Year,Last_Status,VT_BW
80153,Maltese,3,13.0,2,4.3
80154,Maltese,3,13.0,2,4.6
80155,Maltese,3,16.0,2,3.5
80158,Maltese,3,5.0,0,4.0
80159,Mixed,3,1.0,0,4.0
80160,Pomeranian,3,6.0,0,3.2
80161,Shih Tzu,3,0.0,0,5.8
80162,Bichon Frise,4,3.0,0,4.8
80163,Bichon Frise,4,5.0,0,4.97
80164,Bichon Frise,4,7.0,0,5.3
80165,Miniature Pinscher,2,0.0,0,7.0
80166,Miniature Pinscher,2,2.0,0,7.0
80167,Maltese,4,7.0,0,2.1
80168,Maltese,4,7.0,0,2.2
80169,Maltese,4,7.0,0,2.1
80170,Maltese,4,7.0,0,2.3
80171,Maltese,4,7.0,0,2.3
80172,Maltese,4,8.0,0,2.6
80173,Maltese,4,8.0,0,3.2
80174,Maltese,4,9.0,0,3.3
80175,Maltese,4,9.0,0,3.4
80176,Maltese,4,10.0,0,3.6
80177,Maltese,4,12.0,0,3.32
80178,Pomeranian,2,0.0,0,0.6
80179,Maltese,2,15.0,2,1.0
80180,Poodle,2,3.0,0,3.55
80181,Poodle,2,3.0,0,3.75
80182,Poodle,2,3.0,0,3.5
80183,Poodle,2,3.0,0,3.5
80184,Maltese,2,0.0,0,0.9
80185,Maltese,2,0.0,0,0.99
80186,Maltese,2,0.0,0,1.8
80187,Pomeranian,3,4.0,0,4.3
80188,Poodle,1,0.0,0,0.86
80189,Poodle,2,0.0,0,3.0
80190,Poodle,2,0.0,0,2.9
80191,Pomeranian,1,0.0,0,3.4
80192,Pomeranian,1,0.0,0,3.4
80193,Pomeranian,1,0.0,0,3.4
80194,Pomeranian,1,1.0,0,3.8
80195,Golden Retriever,3,0.0,0,15.8
80196,Poodle,3,4.0,0,6.0
80197,Poodle,3,4.0,0,6.1
80198,Poodle,3,4.0,0,6.0
80199,Poodle,3,4.0,0,6.0
80200,Poodle,3,4.0,0,5.9
80202,Pomeranian,1,0.0,0,2.9
80204,Mixed,3,2.0,0,5.5
80205,Poodle,2,2.0,0,2.1
80206,Poodle,1,0.0,0,0.4
80207,Poodle,1,0.0,0,0.68
80208,Poodle,1,0.0,0,0.96
80209,Poodle,1,0.0,0,0.89
80210,Poodle,1,0.0,0,0.9
80211,Poodle,1,0.0,0,1.03
80212,Poodle,1,0.0,0,1.17
80213,Poodle,1,0.0,0,1.41
80214,Shih Tzu,3,11.0,0,5.0
80215,Shih Tzu,3,11.0,0,5.3
80216,Shih Tzu,3,11.0,0,5.3
80217,Shih Tzu,3,11.0,0,5.0
80218,Shih Tzu,3,11.0,0,5.2
80219,Shih Tzu,3,11.0,0,5.3
80220,Shih Tzu,3,11.0,0,5.4
80221,Shih Tzu,3,11.0,0,5.55
80222,Shih Tzu,3,12.0,0,5.47
80223,Shih Tzu,3,12.0,0,5.76
80224,Shih Tzu,3,12.0,0,5.4
80225,Shih Tzu,3,13.0,0,5.5
80226,Shih Tzu,3,14.0,0,5.8
80228,Pomeranian,4,8.0,0,3.35
80229,Maltese,3,9.0,0,2.9
80230,Maltese,3,9.0,0,2.8
80231,Maltese,3,9.0,0,2.86
80232,Maltese,3,9.0,0,2.9
80233,Maltese,3,10.0,0,2.8
80234,Shih Tzu,2,9.0,0,4.26
80236,Poodle,3,12.0,0,7.1
80237,Shih Tzu,1,12.0,0,8.8
80238,Shih Tzu,1,12.0,0,8.7
80239,Shih Tzu,1,12.0,0,8.58
80240,Shih Tzu,1,12.0,0,9.2
80241,Shih Tzu,1,13.0,0,8.8
80242,Shih Tzu,3,13.0,0,5.2
80243,Chihuahua,3,0.0,0,4.2
80244,Chihuahua,3,4.0,0,8.0
80245,Pekingese,3,2.0,0,5.8
80246,Pekingese,3,4.0,0,6.3
80247,Mixed,2,6.0,0,2.5
80248,Mixed,2,9.0,0,2.71
80249,Bichon Frise,1,1.0,0,5.7
80250,Bichon Frise,1,3.0,0,7.1
80251,Maltese,5,,2,1.0
80252,Pomeranian,1,0.0,0,0.82
80260,Maltese,2,4.0,0,3.7
80261,Maltese,2,4.0,0,3.7
80262,Maltese,2,4.0,0,3.6
80263,Maltese,2,4.0,0,3.8
80264,Maltese,2,5.0,0,3.7
80265,Maltese,2,5.0,0,3.5
80266,Maltese,2,6.0,0,2.5
80267,Maltese,3,5.0,0,5.0
80268,Maltese,4,10.0,0,2.7
80269,Maltese,4,10.0,0,2.6
80270,Maltese,4,10.0,0,3.0
80271,Maltese,4,11.0,0,2.9
80295,Mixed,1,0.0,0,13.0
80296,Mixed,1,0.0,0,14.3
80297,Mixed,1,0.0,0,14.2
80298,Poodle,2,0.0,2,1.7
80299,Golden Retriever,3,2.0,0,35.0
80300,Golden Retriever,3,2.0,0,35.0
80301,Golden Retriever,3,2.0,0,33.6
80302,Yorkshire Terrier,1,10.0,0,5.0
80303,Maltese,3,5.0,0,3.7
80304,Shih Tzu,4,8.0,2,4.0
80305,Shih Tzu,4,8.0,2,3.6
80306,Shih Tzu,4,8.0,2,3.48
80307,Shih Tzu,4,8.0,2,3.1
80308,Shih Tzu,4,8.0,2,3.35
80309,Shih Tzu,4,8.0,2,3.4
80310,Shih Tzu,4,8.0,2,3.6
80311,Shih Tzu,4,8.0,2,3.7
80312,Shih Tzu,4,8.0,2,3.7
80313,Shih Tzu,4,8.0,2,3.7
80314,Shih Tzu,4,8.0,2,3.9
80315,Shih Tzu,4,8.0,2,3.9
80316,Shih Tzu,4,9.0,2,3.8
80317,Shih Tzu,4,10.0,2,3.6
80318,Shih Tzu,4,10.0,2,3.5
80319,Shih Tzu,4,10.0,2,3.4
80320,Shih Tzu,4,10.0,2,3.3
80321,Shih Tzu,4,10.0,2,3.25
80322,Shih Tzu,4,10.0,2,2.96
80323,Shih Tzu,4,10.0,2,2.9
80324,Shih Tzu,2,13.0,2,2.0
80326,Maltese,1,6.0,0,3.9
80327,Maltese,1,6.0,0,4.0
80328,Maltese,1,6.0,0,3.9
80329,Maltese,1,6.0,0,3.7
80330,Maltese,1,6.0,0,3.6
80331,Maltese,1,6.0,0,3.8
80332,Maltese,1,6.0,0,3.8
80333,Maltese,1,6.0,0,3.8
80334,Maltese,1,6.0,0,3.8
80335,Poodle,2,1.0,0,3.5
80336,Poodle,2,1.0,0,3.4
80337,Poodle,2,1.0,0,3.4
80338,Poodle,2,1.0,0,3.6
80339,Maltese,2,14.0,0,2.1
80340,Maltese,2,14.0,0,1.9
80341,Maltese,2,14.0,0,1.8
80342,Yorkshire Terrier,2,10.0,0,2.3
80343,Maltese,4,12.0,0,3.25
80344,Pomeranian,2,0.0,0,0.6
80345,Pomeranian,2,0.0,0,0.6
80346,Poodle,2,13.0,0,3.8
80351,Golden Retriever,2,1.0,0,16.2
80352,Bichon Frise,2,0.0,0,0.3
80353,Golden Retriever,1,0.0,0,14.2
80354,Dachshund,3,2.0,0,11.0
80355,Dachshund,3,2.0,0,10.0
80356,Welsh Corgi,4,12.0,2,10.0
80357,Welsh Corgi,4,12.0,2,15.0
80358,Welsh Corgi,4,12.0,2,14.0
80359,Dachshund,2,2.0,0,5.0
80360,Dachshund,2,2.0,0,5.6
80361,Bichon Frise,2,0.0,0,1.28
80362,Bichon Frise,2,0.0,0,1.31
80363,Bichon Frise,2,0.0,0,1.3
80364,Bichon Frise,2,0.0,0,1.3
80365,Bichon Frise,2,0.0,0,1.6
80366,Bichon Frise,2,0.0,0,1.8
80367,Bichon Frise,2,0.0,0,2.2
80368,Bichon Frise,2,0.0,0,2.3
80369,Bichon Frise,2,0.0,0,2.8
80370,Bichon Frise,2,0.0,0,3.1
80371,Bichon Frise,2,0.0,0,3.4
80372,Bichon Frise,2,3.0,0,5.5
80373,Bichon Frise,2,3.0,0,5.1
80374,Poodle,3,1.0,0,3.6
